handwashing,p20,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,2016,BEN,2883301.34605056,5797487.76032867,0.497336340368074,Not P20
no soap and water,P20,2016,BEN,5312494.29410153,11574418.2248508,0.458985859237,P20
no soap and water,Not P20,2017,BEN,3025113.78512472,6015443.95668697,0.502891192554775,Not P20
no soap and water,P20,2017,BEN,5696833.71413366,12138987.0761007,0.469300583188658,P20
no soap and water,Not P20,2018,BEN,3892247.45858069,7653957.57293898,0.50852744106421,Not P20
no soap and water,P20,2018,BEN,7290478.02256391,14460770.6490411,0.504155566774538,P20
no soap and water,Not P20,2000,BFA,2557752.29906595,3048888.8437259,0.838912938505242,Not P20
no soap and water,P20,2000,BFA,5037582.15131934,5438930.00715576,0.926208306540371,P20
no soap and water,Not P20,2001,BFA,2884384.12814757,3402758.13092741,0.847660637978239,Not P20
no soap and water,P20,2001,BFA,4931224.62805783,5331218.20222416,0.924971449489826,P20
no soap and water,Not P20,2002,BFA,3226995.94634225,3771259.38921197,0.855681249498076,Not P20
no soap and water,P20,2002,BFA,4816652.6118631,5217552.40152348,0.9231632461337,P20
no soap and water,Not P20,2003,BFA,3421586.5930289,3988532.77160858,0.857855955800251,Not P20
no soap and water,P20,2003,BFA,4858613.19069409,5264626.02902661,0.922879073253455,P20
no soap and water,Not P20,2004,BFA,3599884.12707799,4187485.02304197,0.859676896100962,Not P20
no soap and water,P20,2004,BFA,4926306.78891923,5340569.92381375,0.922430912654602,P20
no soap and water,Not P20,2005,BFA,3805426.47323146,4414573.77713489,0.862014469650844,Not P20
no soap and water,P20,2005,BFA,4976840.64351153,5399647.42324793,0.921697335660099,P20
no soap and water,Not P20,2006,BFA,3856845.09767052,4480458.40327855,0.86081484315272,Not P20
no soap and water,P20,2006,BFA,5191892.12838053,5631544.28806503,0.921930444440211,P20
no soap and water,Not P20,2007,BFA,3917655.94712149,4557158.5047916,0.859670766992698,Not P20
no soap and water,P20,2007,BFA,5407758.16064322,5864031.78948806,0.922191139948668,P20
no soap and water,Not P20,2008,BFA,3979430.89350064,4638281.51179076,0.857953723460879,Not P20
no soap and water,P20,2008,BFA,5632382.66993602,6102961.40355699,0.922893378721565,P20
no soap and water,Not P20,2009,BFA,3874760.77498291,4541755.01168364,0.853141740365807,Not P20
no soap and water,P20,2009,BFA,6032396.17463484,6529535.40546753,0.923863000969961,P20
no soap and water,Not P20,2010,BFA,3776141.13524834,4455943.23845372,0.847439236357669,Not P20
no soap and water,P20,2010,BFA,6434699.19164493,6954714.65634787,0.92522835365671,P20
no soap and water,Not P20,2011,BFA,3697913.42953782,4382705.75363944,0.843751243502268,Not P20
no soap and water,P20,2011,BFA,6824838.37662472,7376514.55810928,0.925211808756199,P20
no soap and water,Not P20,2012,BFA,3818640.47716171,4524269.43267574,0.844034718529858,Not P20
no soap and water,P20,2012,BFA,7024294.0955308,7592756.495038,0.925130958713255,P20
no soap and water,Not P20,2013,BFA,3685156.93372264,4404160.76458314,0.836744417542044,Not P20
no soap and water,P20,2013,BFA,7485939.21072542,8079587.12818383,0.926524968659895,P20
no soap and water,Not P20,2014,BFA,3674283.57318929,4403834.29255848,0.834337381721659,Not P20
no soap and water,P20,2014,BFA,7832638.21924914,8455200.20335177,0.926369338498237,P20
no soap and water,Not P20,2015,BFA,3642777.88326211,4380814.11327968,0.831529891263742,Not P20
no soap and water,P20,2015,BFA,8207405.92926681,8861817.16351598,0.926153832540873,P20
no soap and water,Not P20,2016,BFA,3809204.56005393,4574675.08557029,0.83267215459064,Not P20
no soap and water,P20,2016,BFA,8391535.0024203,9059703.74653148,0.926248278883624,P20
no soap and water,Not P20,2017,BFA,3978238.89432593,4772270.75996824,0.833615503901628,Not P20
no soap and water,P20,2017,BFA,8580353.4195596,9262010.05789987,0.926402947731754,P20
no soap and water,Not P20,2018,BFA,4149407.72276953,4971132.09408962,0.834700757137982,Not P20
no soap and water,P20,2018,BFA,8774460.62818283,9471346.26312898,0.926421691744176,P20
no soap and water,Not P20,2000,BGD,60522972.00603,84548914.7757901,0.715833812492177,Not P20
no soap and water,P20,2000,BGD,24708010.8078105,25545861.8616051,0.967202083126666,P20
no soap and water,Not P20,2001,BGD,60879580.356487,85283888.8429231,0.713846204511332,Not P20
no soap and water,P20,2001,BGD,25993707.4212213,26926646.6164033,0.965352566605389,P20
no soap and water,Not P20,2002,BGD,61334986.1930358,86125429.9231839,0.712158839122674,Not P20
no soap and water,P20,2002,BGD,27111246.3387002,28123428.2460092,0.96400929863689,P20
no soap and water,Not P20,2003,BGD,62044183.8402508,87248458.6452069,0.711120686871404,Not P20
no soap and water,P20,2003,BGD,27970484.5249022,29019436.7727715,0.963853459456058,P20
no soap and water,Not P20,2004,BGD,62710998.4267055,88281471.0265278,0.71035289395961,Not P20
no soap and water,P20,2004,BGD,28791262.2337362,29901501.3578662,0.962870121107215,P20
no soap and water,Not P20,2005,BGD,63629942.7881192,89572060.6485765,0.710377123484548,Not P20
no soap and water,P20,2005,BGD,29684997.7915534,30822687.5743752,0.963089208879771,P20
no soap and water,Not P20,2006,BGD,64189397.7789205,90483354.2999342,0.70940559482516,Not P20
no soap and water,P20,2006,BGD,30205423.2071502,31358542.8500733,0.963227894598413,P20
no soap and water,Not P20,2007,BGD,64825281.1898154,91443750.2507158,0.708908821128626,Not P20
no soap and water,P20,2007,BGD,30636832.2889413,31804183.4068354,0.963295673938189,P20
no soap and water,Not P20,2008,BGD,65432115.8255597,92339446.5124903,0.708604158859768,Not P20
no soap and water,P20,2008,BGD,31083181.5167935,32281830.5541329,0.962869235828206,P20
no soap and water,Not P20,2009,BGD,64206110.8999717,91297113.1601463,0.703265510568186,Not P20
no soap and water,P20,2009,BGD,33427518.9701247,34758144.9346583,0.961717578224184,P20
no soap and water,Not P20,2010,BGD,63158609.8558422,90442289.4040992,0.698330507464792,Not P20
no soap and water,P20,2010,BGD,35464955.5382909,36924396.3697829,0.960474889910824,P20
no soap and water,Not P20,2011,BGD,59381798.7723454,86637513.073295,0.685405163028037,Not P20
no soap and water,P20,2011,BGD,40447381.5099426,42265573.147088,0.956981734736732,P20
no soap and water,Not P20,2012,BGD,44700659.4353786,72135576.9371622,0.619675634871788,Not P20
no soap and water,P20,2012,BGD,32966133.0860116,34942856.6337098,0.943429824057624,P20
no soap and water,Not P20,2013,BGD,30915695.0781917,58348825.1717992,0.529842631572532,Not P20
no soap and water,P20,2013,BGD,25812057.4108906,28132752.0023365,0.917509151210905,P20
no soap and water,Not P20,2014,BGD,46977389.9891549,117705529.348096,0.39910945772332,Not P20
no soap and water,P20,2014,BGD,34475295.3232291,40745443.0939394,0.84611413462226,P20
no soap and water,Not P20,2015,BGD,47757624.7920119,120127437.412808,0.397558008566327,Not P20
no soap and water,P20,2015,BGD,33042787.2035068,39969056.3979624,0.826709214110726,P20
no soap and water,Not P20,2016,BGD,48506011.7668642,123636853.828138,0.392326480858938,Not P20
no soap and water,P20,2016,BGD,31949000.8669098,38251692.1555641,0.835231046432611,P20
no soap and water,Not P20,2017,BGD,50293878.0266907,127252028.793994,0.39523046118275,Not P20
no soap and water,P20,2017,BGD,30824037.9458562,36685151.231715,0.840231998804143,P20
no soap and water,Not P20,2018,BGD,50328042.0254075,125972525.697123,0.399516019440713,Not P20
no soap and water,P20,2018,BGD,34782270.8157444,39951572.7335198,0.870610802927458,P20
no soap and water,Not P20,2010,BLZ,19439.1566080551,269573.288136792,0.0721108413315453,Not P20
no soap and water,P20,2010,BLZ,7134.32790298749,52890.711863208,0.134888105144795,P20
no soap and water,Not P20,2011,BLZ,19907.7377963875,276071.356661301,0.0721108413315453,Not P20
no soap and water,P20,2011,BLZ,7306.30099390592,54165.643338699,0.134888105144795,P20
no soap and water,Not P20,2012,BLZ,19620.3525089331,277328.857143036,0.0707476052476344,Not P20
no soap and water,P20,2012,BLZ,8233.41648460543,60671.1428569638,0.135705643521769,P20
no soap and water,Not P20,2013,BLZ,19837.1429350818,282474.557289623,0.0702262997610176,Not P20
no soap and water,P20,2013,BLZ,8652.4006968743,63240.4427103766,0.136817522554354,P20
no soap and water,Not P20,2014,BLZ,20233.0083778933,287581.625774197,0.0703557062222739,Not P20
no soap and water,P20,2014,BLZ,8887.0358060438,65784.3742258032,0.135093415581324,P20
no soap and water,Not P20,2015,BLZ,20339.8667531201,289732.749930354,0.0702021665069253,Not P20
no soap and water,P20,2015,BLZ,9403.75574434986,71200.2500696458,0.132074757253681,P20
no soap and water,Not P20,2016,BLZ,20442.5314468513,291031.894748482,0.0702415502071286,Not P20
no soap and water,P20,2016,BLZ,9916.42860409426,77368.1052515177,0.128172049345874,P20
no soap and water,Not P20,2017,BLZ,20387.9588503595,291948.842891009,0.0698340114948519,Not P20
no soap and water,P20,2017,BLZ,10578.2628092056,83820.1571089909,0.126201896704282,P20
no soap and water,Not P20,2018,BLZ,19633.4932275619,290260.35048105,0.0676409754037133,Not P20
no soap and water,P20,2018,BLZ,11934.4687313843,92810.6495189501,0.128589432282202,P20
no soap and water,Not P20,2000,CIV,5445448.96872394,7424261.23594942,0.73346677812955,Not P20
no soap and water,P20,2000,CIV,1051878.27762652,1133798.60100822,0.927747023758141,P20
no soap and water,Not P20,2001,CIV,5560633.99998595,7587352.16826926,0.732882022168529,Not P20
no soap and water,P20,2001,CIV,1093989.78295833,1177893.35001178,0.928768112110823,P20
no soap and water,Not P20,2002,CIV,5652967.39787144,7725204.93899803,0.731756301937621,Not P20
no soap and water,P20,2002,CIV,1151116.88029513,1236904.89177275,0.930643000890179,P20
no soap and water,Not P20,2003,CIV,5587049.3692281,7674788.01360348,0.727974422137148,Not P20
no soap and water,P20,2003,CIV,1362372.2525355,1478755.25370023,0.921296644002782,P20
no soap and water,Not P20,2004,CIV,5499820.53651432,7577562.75078006,0.725803364142138,Not P20
no soap and water,P20,2004,CIV,1596112.4326325,1768960.311162,0.902288436072398,P20
no soap and water,Not P20,2005,CIV,5398830.27823136,7481640.13089591,0.721610527073675,Not P20
no soap and water,P20,2005,CIV,1848545.22368113,2064357.91639445,0.895457715447787,P20
no soap and water,Not P20,2006,CIV,5349021.87461628,7446681.64927742,0.718309460044571,Not P20
no soap and water,P20,2006,CIV,2004412.61751817,2239013.71510232,0.895221232455278,P20
no soap and water,Not P20,2007,CIV,5350750.55615511,7472418.78016275,0.716066740044055,Not P20
no soap and water,P20,2007,CIV,2165915.2296412,2428279.32695355,0.891954729260285,P20
no soap and water,Not P20,2008,CIV,5308106.2157122,7471582.25510237,0.710439373412142,Not P20
no soap and water,P20,2008,CIV,2378852.62337414,2653420.10584274,0.896523177063438,P20
no soap and water,Not P20,2009,CIV,5068038.40310702,7246494.2230645,0.699377967759391,Not P20
no soap and water,P20,2009,CIV,2796759.46816018,3112751.7000477,0.898484600656494,P20
no soap and water,Not P20,2010,CIV,11144629.2624049,20486362.6988029,0.544002340789178,Not P20
no soap and water,P20,2010,CIV,8223214.90559733,10650521.6846965,0.772095034313025,P20
no soap and water,Not P20,2011,CIV,9280081.90051121,17462096.0085613,0.531441465901995,Not P20
no soap and water,P20,2011,CIV,10555339.3664123,14426492.7950686,0.731663580078207,P20
no soap and water,Not P20,2012,CIV,9654702.55868456,18101506.4558613,0.533364589418377,Not P20
no soap and water,P20,2012,CIV,10669828.4727866,14573403.9464688,0.732143877434479,P20
