sleeping.category,p20,urban,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,Rural,2013,ARM,21950.9460877912,1314609.29912815,0.0166976957354167,Not P20 Rural
5 people per room or more,Not P20,Urban,2013,ARM,93646.6204283582,1924735.23935103,0.0486542868409961,Not P20 Urban
5 people per room or more,P20,Rural,2013,ARM,16004.2094426836,314446.903640588,0.0508963810977015,P20 Rural
5 people per room or more,P20,Urban,2013,ARM,6199.38522593726,34372.2351059981,0.180360258994488,P20 Urban
5 people per room or more,Not P20,Rural,2014,ARM,21124.5758848243,1318700.15366279,0.0160192412400569,Not P20 Rural
5 people per room or more,Not P20,Urban,2014,ARM,93092.8697749073,1962087.45243179,0.0474458310507664,Not P20 Urban
5 people per room or more,P20,Rural,2014,ARM,16086.0591422026,332053.186554695,0.0484442245807298,P20 Rural
5 people per room or more,P20,Urban,2014,ARM,6231.09049821346,34548.0236774548,0.180360258994488,P20 Urban
5 people per room or more,Not P20,Rural,2015,ARM,20277.0858212747,1334670.81231762,0.0151925745540686,Not P20 Rural
5 people per room or more,Not P20,Urban,2015,ARM,92475.8534486675,1971094.45908433,0.0469159927990601,Not P20 Urban
5 people per room or more,P20,Rural,2015,ARM,16158.69046339,337752.601609404,0.0478417942197727,P20 Rural
5 people per room or more,P20,Urban,2015,ARM,6259.2249425371,34704.0139409447,0.180360258994488,P20 Urban
5 people per room or more,Not P20,Rural,2016,ARM,36284.0050679406,2107344.36692967,0.0172178812525099,Not P20 Rural
5 people per room or more,Not P20,Urban,2016,ARM,254687.182559912,2845638.60322371,0.0895008882264201,Not P20 Urban
5 people per room or more,P20,Rural,2016,ARM,24758.7951858168,856495.869328984,0.0289070806672003,P20 Rural
5 people per room or more,P20,Urban,2016,ARM,20311.6541500522,54098.6043199056,0.375456158350068,P20 Urban
5 people per room or more,Not P20,Rural,2017,ARM,36230.8267514812,2085734.66397089,0.0173707746135378,Not P20 Rural
5 people per room or more,Not P20,Urban,2017,ARM,253841.67088427,2844427.91803604,0.089241730920549,Not P20 Urban
5 people per room or more,P20,Rural,2017,ARM,24765.414904947,895483.473685995,0.0276559150812772,P20 Rural
5 people per room or more,P20,Urban,2017,ARM,20234.0598465081,55231.6761044495,0.366348828672938,P20 Urban
5 people per room or more,Not P20,Rural,2018,ARM,36182.06308075,2026982.56930556,0.0178502092857888,Not P20 Rural
5 people per room or more,Not P20,Urban,2018,ARM,253101.926975452,2842152.92656158,0.0890528882559648,Not P20 Urban
5 people per room or more,P20,Rural,2018,ARM,24768.2526504163,968534.38566264,0.025572920297993,P20 Rural
