birth.reg,p20,sex,povcal_year,iso3,value,total,percentage,demographic
Registered,P20,Male,2008,AFG,4003043.8748253,10881646.2067701,0.367871165700534,P20 Male
Registered,Not P20,Female,2008,AFG,2205699.96066189,3225168.02934348,0.683902339535122,Not P20 Female
Registered,P20,Female,2008,AFG,3638835.15574207,10305700.7225306,0.35308954274082,P20 Female
Registered,Not P20,Male,2009,AFG,2665235.32879348,4095756.71993519,0.650730868808939,Not P20 Male
Registered,P20,Male,2009,AFG,3722445.91249599,10439931.2956296,0.356558468354508,P20 Male
Registered,Not P20,Female,2009,AFG,2599148.4893053,4030439.94005256,0.644879598248374,Not P20 Female
Registered,P20,Female,2009,AFG,3387173.9072477,9828685.04438265,0.344621268455801,P20 Female
Registered,Not P20,Male,2010,AFG,3209441.95020875,5115780.57176519,0.627361143658541,Not P20 Male
Registered,P20,Male,2010,AFG,3356113.37080788,9824674.3742872,0.341600468672161,P20 Male
Registered,Not P20,Female,2010,AFG,3089128.9010702,5002959.47856554,0.61746030810466,Not P20 Female
Registered,P20,Female,2010,AFG,3063891.16667436,9242092.57538208,0.331514875195642,P20 Female
Registered,Not P20,Male,2011,AFG,3260782.05856295,5192444.49407455,0.62798592498852,Not P20 Male
Registered,P20,Male,2011,AFG,3514414.31467139,10225065.7111843,0.343705792602124,P20 Male
Registered,Not P20,Female,2011,AFG,3141321.36520272,5061416.42580567,0.620640765534855,Not P20 Female
Registered,P20,Female,2011,AFG,3208167.32373975,9638486.36893552,0.332849702841263,P20 Female
Registered,Not P20,Male,2012,AFG,3771929.53889496,6253608.32985306,0.603160501895966,Not P20 Male
Registered,P20,Male,2012,AFG,3238116.16656425,9698320.62532999,0.333884214768788,P20 Male
Registered,Not P20,Female,2012,AFG,3600864.52390988,6080378.82872874,0.592210555516116,Not P20 Female
Registered,P20,Female,2012,AFG,2968717.14779224,9129068.21608819,0.325193883704414,P20 Female
Registered,Not P20,Male,2013,AFG,3842682.51825419,6355904.02560063,0.604584729847468,Not P20 Male
Registered,P20,Male,2013,AFG,3416666.1634723,10163334.12168,0.336175719755587,P20 Male
Registered,Not P20,Female,2013,AFG,3686096.17282317,6182311.87161458,0.596232647166747,Not P20 Female
Registered,P20,Female,2013,AFG,3117123.95608772,9568038.98110473,0.325785039363188,P20 Female
Registered,Not P20,Male,2014,AFG,3897927.09484031,6388094.06189589,0.610186239756693,Not P20 Male
Registered,P20,Male,2014,AFG,3609148.04739551,10694865.7876964,0.337465482881286,P20 Male
Registered,Not P20,Female,2014,AFG,3735852.21366836,6256187.22791443,0.597145206428508,Not P20 Female
Registered,P20,Female,2014,AFG,3299528.91431994,10031646.9224933,0.328911986218497,P20 Female
Registered,Not P20,Male,2015,AFG,3941774.44407125,6392544.90157652,0.616620532942857,Not P20 Male
Registered,P20,Male,2015,AFG,3799890.4271953,11224242.9497647,0.338543137760126,P20 Male
Registered,Not P20,Female,2015,AFG,3773317.62033423,6264785.41924757,0.602305963862913,Not P20 Female
Registered,P20,Female,2015,AFG,3481913.19893491,10532029.7294112,0.330602294941447,P20 Female
Registered,Not P20,Male,2016,AFG,4037349.91673641,6529132.31673864,0.618359334882205,Not P20 Male
Registered,P20,Male,2016,AFG,3922418.75593432,11583968.4676474,0.338607513210102,P20 Male
Registered,Not P20,Female,2016,AFG,3863218.77473412,6403959.27058424,0.603254738436473,Not P20 Female
Registered,P20,Female,2016,AFG,3596411.67278817,10866067.9450297,0.330976365230002,P20 Female
Registered,Not P20,Male,2017,AFG,4122380.21983896,6659270.70631268,0.619043796482268,Not P20 Male
Registered,P20,Male,2017,AFG,4042837.61083803,11921346.3411793,0.339125925473122,P20 Male
Registered,Not P20,Female,2017,AFG,3952436.655349,6535457.19431696,0.604768195679702,Not P20 Female
Registered,P20,Female,2017,AFG,3699733.90954419,11180325.7581911,0.330914679014038,P20 Female
Registered,Not P20,Male,2018,AFG,4208422.12878202,6780037.44992779,0.620707799899666,Not P20 Male
Registered,P20,Male,2018,AFG,4153857.02220835,12249008.6540261,0.339117812676461,P20 Male
Registered,Not P20,Female,2018,AFG,4028261.21428035,6644427.33988749,0.606261609649653,Not P20 Female
Registered,P20,Female,2018,AFG,3808588.66548865,11498912.5561586,0.331212942692466,P20 Female
Registered,Not P20,Male,2000,AGO,3296165.58724539,5857827.43691799,0.562694210906906,Not P20 Male
Registered,P20,Male,2000,AGO,451255.19743114,2276617.48874461,0.198213006647847,P20 Male
Registered,Not P20,Female,2000,AGO,3368242.07748116,5995125.01455736,0.561830165226313,Not P20 Female
Registered,P20,Female,2000,AGO,421565.201032327,2265903.05978001,0.186047324139832,P20 Female
Registered,Not P20,Male,2001,AGO,3377573.38855453,5959885.68328784,0.56671781440802,Not P20 Male
Registered,P20,Male,2001,AGO,495621.791858685,2447574.99213044,0.202495038334773,P20 Male
Registered,Not P20,Female,2001,AGO,3462542.18830745,6105463.7337786,0.567121899218051,Not P20 Female
Registered,P20,Female,2001,AGO,454462.100577175,2432828.59080312,0.186803995273317,P20 Female
Registered,Not P20,Male,2002,AGO,3470204.38086644,6078194.86783275,0.570926805790907,Not P20 Male
Registered,P20,Male,2002,AGO,534109.944265609,2613883.28790068,0.204335804409452,P20 Male
Registered,Not P20,Female,2002,AGO,3556263.88104081,6209404.18332971,0.572722241304287,Not P20 Female
Registered,P20,Female,2002,AGO,493342.620821837,2617934.66093686,0.188447262715598,P20 Female
Registered,Not P20,Male,2003,AGO,3537461.85964394,6154723.05925677,0.574755651161844,Not P20 Male
Registered,P20,Male,2003,AGO,604462.38088755,2836061.95176742,0.21313440650013,P20 Male
Registered,Not P20,Female,2003,AGO,3637960.17672201,6290465.66603395,0.578329231866819,Not P20 Female
Registered,P20,Female,2003,AGO,550812.724897211,2840228.32294186,0.193932551284007,P20 Female
Registered,Not P20,Male,2004,AGO,3619183.77876296,6232661.23400538,0.580680329458098,Not P20 Male
Registered,P20,Male,2004,AGO,668259.618263556,3073999.05021416,0.217390964456219,P20 Male
Registered,Not P20,Female,2004,AGO,3727637.91869624,6368986.97237793,0.585279564059854,Not P20 Female
Registered,P20,Female,2004,AGO,608300.083971454,3082497.74340257,0.197339993280901,P20 Female
Registered,Not P20,Male,2005,AGO,3694473.82380402,6301801.48372527,0.58625677647022,Not P20 Male
Registered,P20,Male,2005,AGO,747354.969786245,3339979.82848493,0.223760324362574,P20 Male
Registered,Not P20,Female,2005,AGO,3808920.59346131,6454472.3985981,0.590121137443953,Not P20 Female
Registered,P20,Female,2005,AGO,683149.034986415,3337348.28919169,0.204698154279808,P20 Female
Registered,Not P20,Male,2006,AGO,3845391.28007305,6590539.0276571,0.583471437455408,Not P20 Male
Registered,P20,Male,2006,AGO,760157.935650981,3406626.64984753,0.223140958427306,P20 Male
Registered,Not P20,Female,2006,AGO,3968164.46585509,6754142.94585398,0.587515617846221,Not P20 Female
Registered,P20,Female,2006,AGO,689477.400965501,3398592.37664138,0.202871461050845,P20 Female
Registered,Not P20,Male,2007,AGO,4016369.56796437,6901919.09941495,0.58192069627487,Not P20 Male
Registered,P20,Male,2007,AGO,761851.335903911,3470061.26214491,0.219549823000242,P20 Male
Registered,Not P20,Female,2007,AGO,4142723.89255964,7066845.18352631,0.586219704121557,Not P20 Female
Registered,P20,Female,2007,AGO,689542.725022365,3466537.45491383,0.198913969339906,P20 Female
Registered,Not P20,Male,2008,AGO,4191557.01267928,7234665.46199254,0.57937122797173,Not P20 Male
Registered,P20,Male,2008,AGO,767291.676122518,3529399.71016404,0.217400050754483,P20 Male
Registered,Not P20,Female,2008,AGO,4321238.4864374,7396085.41429344,0.584260219343372,Not P20 Female
Registered,P20,Female,2008,AGO,693698.968869032,3535483.41355,0.196210500156889,P20 Female
Registered,Not P20,Male,2009,AGO,4228697.27898943,7163760.26808715,0.590290171745036,Not P20 Male
Registered,P20,Male,2009,AGO,917264.937010576,4006468.17456846,0.228946018548962,P20 Male
Registered,Not P20,Female,2009,AGO,4358851.45314206,7339832.06057074,0.593862559411628,Not P20 Female
Registered,P20,Female,2009,AGO,845315.94137585,4004220.49677365,0.211106242040605,P20 Female
Registered,Not P20,Male,2010,AGO,4252522.01423999,7066181.03858514,0.601813340334607,Not P20 Male
Registered,P20,Male,2010,AGO,1085883.39269268,4521779.65990938,0.240145136287876,P20 Male
Registered,Not P20,Female,2010,AGO,4376746.00845869,7233225.45718007,0.605089117485492,Not P20 Female
Registered,P20,Female,2010,AGO,1022041.27200295,4535059.84432544,0.225364450985536,P20 Female
Registered,Not P20,Male,2011,AGO,4161118.25487976,6781625.42341798,0.61358715574452,Not P20 Male
Registered,P20,Male,2011,AGO,1374861.61285597,5235205.86700253,0.262618442862336,P20 Male
Registered,Not P20,Female,2011,AGO,4319889.5429022,6979769.00388231,0.61891583238634,Not P20 Female
