sleeping.category,p20,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,2000,BDI,190252.384089914,4184014.79106919,0.0454712503636481,Not P20
5 people per room or more,P20,2000,BDI,547730.538057683,8571337.72917526,0.0639025733630013,P20
5 people per room or more,Not P20,2001,BDI,195672.740745584,4288048.27161486,0.0456321217372616,Not P20
5 people per room or more,P20,2001,BDI,560649.035868239,8760597.30559128,0.0639966678425472,P20
5 people per room or more,Not P20,2002,BDI,199177.351987145,4422923.23579982,0.0450329660652875,Not P20
5 people per room or more,P20,2002,BDI,575873.493109792,8982791.45110224,0.0641085230848957,P20
5 people per room or more,Not P20,2003,BDI,194790.960777952,4343788.01760448,0.0448435697111608,Not P20
5 people per room or more,P20,2003,BDI,605626.54436877,9471931.86239574,0.0639390731655441,P20
5 people per room or more,Not P20,2004,BDI,194711.85115016,4264974.0579623,0.0456537011723791,Not P20
5 people per room or more,P20,2004,BDI,634675.182592416,9995740.46050965,0.0634945640195279,P20
5 people per room or more,Not P20,2005,BDI,197347.032422817,4141950.02929501,0.0476459230620914,Not P20
5 people per room or more,P20,2005,BDI,661227.601040139,10585015.1457262,0.0624682716025319,P20
5 people per room or more,Not P20,2006,BDI,204495.782605661,4258125.97436231,0.0480248315425393,Not P20
5 people per room or more,P20,2006,BDI,685373.228049008,10954722.1794551,0.0625641816215463,P20
5 people per room or more,Not P20,2007,BDI,210313.913682038,4389448.34110719,0.0479135183600289,Not P20
5 people per room or more,P20,2007,BDI,706717.503919458,11332034.5293884,0.0623645738182902,P20
5 people per room or more,Not P20,2008,BDI,217228.751616289,4525590.84235618,0.0480000864380377,Not P20
5 people per room or more,P20,2008,BDI,726316.152012393,11723569.1775696,0.0619535007651112,P20
5 people per room or more,Not P20,2009,BDI,221685.466589732,4524039.72742246,0.0490016622192741,Not P20
5 people per room or more,P20,2009,BDI,751372.544330983,12268150.5658091,0.0612457876434147,P20
5 people per room or more,Not P20,2010,BDI,227329.801911851,4554783.75513567,0.0499101195870231,Not P20
5 people per room or more,P20,2010,BDI,776797.833880389,12793170.4259942,0.0607197284186904,P20
5 people per room or more,Not P20,2011,BDI,210499.903078264,4304732.23353426,0.0488996508164782,Not P20
5 people per room or more,P20,2011,BDI,828246.474411914,13608724.0112265,0.0608614351888285,P20
5 people per room or more,Not P20,2012,BDI,149588.595475949,2537034.3867836,0.0589619897369993,Not P20
