birth.reg,p20,urban,povcal_year,iso3,value,total,percentage,demographic
Registered,P20,Rural,2016,AGO,2478766.97622231,10391853.3777264,0.238529825828299,P20 Rural
Registered,P20,Urban,2016,AGO,2817658.37084372,6651181.0749573,0.423632786281015,P20 Urban
Registered,Not P20,Rural,2017,AGO,142630.979163062,192852.100520948,0.739587376947287,Not P20 Rural
Registered,Not P20,Urban,2017,AGO,7393230.05254995,10667886.0653268,0.693036090494041,Not P20 Urban
Registered,P20,Rural,2017,AGO,2619690.61519733,10833492.8738703,0.241814034097522,P20 Rural
Registered,P20,Urban,2017,AGO,3551624.09475116,8122516.96028197,0.437256593260209,P20 Urban
Registered,Not P20,Rural,2018,AGO,114356.64664375,153116.297088804,0.746861364975575,Not P20 Rural
Registered,Not P20,Urban,2018,AGO,6976360.62492919,9780068.12761211,0.713324338225498,Not P20 Urban
Registered,P20,Rural,2018,AGO,2739961.03044513,11240448.9700185,0.243759038251354,P20 Rural
Registered,P20,Urban,2018,AGO,4332999.85271441,9636128.60528057,0.449661895373619,P20 Urban
Registered,Not P20,Rural,2000,ALB,3215397.84812663,3320027.79773155,0.968485218805573,Not P20 Rural
Registered,Not P20,Urban,2000,ALB,2627952.74709442,2741382.26145505,0.958623240561705,Not P20 Urban
Registered,P20,Rural,2000,ALB,82430.8871833021,84130.4200247357,0.979798830899288,P20 Rural
Registered,P20,Urban,2000,ALB,30580.2737568656,32513.5207886633,0.940540212659107,P20 Urban
Registered,Not P20,Rural,2001,ALB,3170274.57264312,3268903.91819382,0.969828007179482,Not P20 Rural
Registered,Not P20,Urban,2001,ALB,2608354.83302865,2720681.27182434,0.958713855989322,Not P20 Urban
Registered,P20,Rural,2001,ALB,91889.9870940305,98564.2906862522,0.932284770216963,P20 Rural
Registered,P20,Urban,2001,ALB,30281.6609955406,32196.5192955819,0.940525921996043,P20 Urban
Registered,Not P20,Rural,2002,ALB,3142305.84555989,3240576.76362562,0.969674868014612,Not P20 Rural
Registered,Not P20,Urban,2002,ALB,2599256.4546464,2711155.06334277,0.958726592141725,Not P20 Urban
Registered,P20,Rural,2002,ALB,111567.122892893,118215.997147544,0.943756560744033,P20 Rural
Registered,P20,Urban,2002,ALB,30163.7458106115,32072.1758840679,0.940495771775669,P20 Urban
Registered,Not P20,Rural,2003,ALB,3136736.49934707,3234824.55730648,0.969677472078705,Not P20 Rural
