sleeping.category,p20,sex,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,Male,2014,AGO,1034598.80121093,6451239.04016089,0.160372107554881,Not P20 Male
5 people per room or more,P20,Male,2014,AGO,1859728.99227938,6915646.89688241,0.268916128889945,P20 Male
5 people per room or more,Not P20,Female,2014,AGO,1124094.32536729,6628169.46521421,0.169593479959547,Not P20 Female
5 people per room or more,P20,Female,2014,AGO,1832508.41580497,6946723.59774245,0.263794634984542,P20 Female
5 people per room or more,Not P20,Male,2015,AGO,943452.931717001,6228522.90883189,0.151472980918029,Not P20 Male
5 people per room or more,P20,Male,2015,AGO,2052137.63164457,7606025.29424178,0.269804208145109,P20 Male
5 people per room or more,Not P20,Female,2015,AGO,1064754.12597543,6442150.29719006,0.165279305333788,Not P20 Female
5 people per room or more,P20,Female,2015,AGO,1995290.17549745,7607682.49973627,0.26227306089162,P20 Female
5 people per room or more,Not P20,Male,2016,AGO,768450.312756108,5777876.29781364,0.132998747835237,Not P20 Male
5 people per room or more,P20,Male,2016,AGO,2330068.27707048,8532024.8326573,0.273096752854243,P20 Male
5 people per room or more,Not P20,Female,2016,AGO,892476.295623447,6021573.24950262,0.148213142752546,Not P20 Female
5 people per room or more,P20,Female,2016,AGO,2272710.65274462,8511009.62002649,0.267031851003541,P20 Female
5 people per room or more,Not P20,Male,2017,AGO,687485.884434432,5339332.28560611,0.12875877500409,Not P20 Male
5 people per room or more,P20,Male,2017,AGO,2515696.89157663,9453939.88582566,0.26610036894231,P20 Male
5 people per room or more,Not P20,Female,2017,AGO,751232.872909906,5521405.88024163,0.136058259291931,Not P20 Female
5 people per room or more,P20,Female,2017,AGO,2520870.23763978,9502069.94832662,0.26529695648933,P20 Female
5 people per room or more,Not P20,Male,2018,AGO,591229.980352321,4869492.99364164,0.121415100324474,Not P20 Male
5 people per room or more,P20,Male,2018,AGO,2718631.27518769,10416452.8379774,0.26099395998567,P20 Male
5 people per room or more,Not P20,Female,2018,AGO,643737.762990479,5063691.43105928,0.127128157739228,Not P20 Female
5 people per room or more,P20,Female,2018,AGO,2737339.14303212,10460124.7373216,0.261692782043537,P20 Female
5 people per room or more,Not P20,Male,2000,ALB,222937.372478639,2996777.12689822,0.0743923765560065,Not P20 Male
5 people per room or more,P20,Male,2000,ALB,12508.5370796175,66256.0470321549,0.188790874794371,P20 Male
5 people per room or more,Not P20,Female,2000,ALB,312034.193584943,3064632.93228838,0.101817803462663,Not P20 Female
5 people per room or more,P20,Female,2000,ALB,16009.1190279449,50387.893781244,0.317717567188807,P20 Female
5 people per room or more,Not P20,Male,2001,ALB,217135.827633931,2963368.25830822,0.0732733189758513,Not P20 Male
5 people per room or more,P20,Male,2001,ALB,13254.0112375422,72506.6837986769,0.182797095980054,P20 Male
5 people per room or more,Not P20,Female,2001,ALB,309036.166246805,3026216.93170994,0.10211963425642,Not P20 Female
5 people per room or more,P20,Female,2001,ALB,15853.361810104,58254.1261831571,0.272141440423626,P20 Female
5 people per room or more,Not P20,Male,2002,ALB,216374.637181577,2949820.72725527,0.0733517922571884,Not P20 Male
5 people per room or more,P20,Male,2002,ALB,13203.7411989899,80820.5212635284,0.163371146245605,P20 Male
5 people per room or more,Not P20,Female,2002,ALB,307935.67183114,3001911.09971312,0.102579877152447,Not P20 Female
5 people per room or more,P20,Female,2002,ALB,15792.8274804006,69467.6517680839,0.227340741747319,P20 Female
5 people per room or more,Not P20,Male,2003,ALB,218674.323779729,2941231.24543734,0.0743478854710771,Not P20 Male
5 people per room or more,P20,Male,2003,ALB,13185.3147455908,80710.4045094174,0.163365737363542,P20 Male
5 people per room or more,Not P20,Female,2003,ALB,307296.774496108,2987949.75118298,0.102845362233566,Not P20 Female
5 people per room or more,P20,Female,2003,ALB,15771.9717947278,69340.5988702683,0.227456526936494,P20 Female
5 people per room or more,Not P20,Male,2004,ALB,210386.286876114,2912892.83616419,0.0722258931959745,Not P20 Male
5 people per room or more,P20,Male,2004,ALB,13292.6019403541,81381.1428422979,0.163337616997009,P20 Male
5 people per room or more,Not P20,Female,2004,ALB,308700.737043834,2989857.03910173,0.103249330321352,Not P20 Female
5 people per room or more,P20,Female,2004,ALB,15906.5129677734,69746.9818917736,0.228060233379784,P20 Female
5 people per room or more,Not P20,Male,2005,ALB,211239.438702093,2886594.57864938,0.0731794621470296,Not P20 Male
5 people per room or more,P20,Male,2005,ALB,13418.3004592766,82167.2096286429,0.16330480881511,P20 Male
5 people per room or more,Not P20,Female,2005,ALB,310328.058662955,2983991.63769747,0.10399763013492,Not P20 Female
5 people per room or more,P20,Female,2005,ALB,16064.2419289946,70220.5740244959,0.228768308322154,P20 Female
5 people per room or more,Not P20,Male,2006,ALB,210304.587837993,2883874.71047736,0.0729243150106133,Not P20 Male
5 people per room or more,P20,Male,2006,ALB,13373.4499518091,71706.5374938849,0.186502520121678,P20 Male
5 people per room or more,Not P20,Female,2006,ALB,309030.693242955,2973423.8700527,0.1039309250038,Not P20 Female
5 people per room or more,P20,Female,2006,ALB,16012.0197025691,56088.8819760489,0.285475822274486,P20 Female
5 people per room or more,Not P20,Male,2007,ALB,210270.016343415,2872766.94890281,0.0731942479440328,Not P20 Male
5 people per room or more,P20,Male,2007,ALB,12501.9699096697,48582.6904010878,0.257333832409367,P20 Male
5 people per room or more,Not P20,Female,2007,ALB,307879.148289852,2965128.4412907,0.103833326071984,Not P20 Female
5 people per room or more,P20,Female,2007,ALB,15979.1185764734,53555.9194054023,0.298363257579732,P20 Female
5 people per room or more,Not P20,Male,2008,ALB,208995.991090493,2855752.35512505,0.0731842138606383,Not P20 Male
5 people per room or more,P20,Male,2008,ALB,12439.8787569016,43166.5651315343,0.288183197319398,P20 Male
