educ.category,p20,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,P20,2009,ARM,219944.88053835,305234.310271703,0.720577186563878,P20
Completed secondary education,Not P20,2010,ARM,4910167.99723025,5255428.66924729,0.934303994260759,Not P20
Completed secondary education,P20,2010,ARM,401916.25426356,499209.330752716,0.805105653088544,P20
Completed secondary education,Not P20,2011,ARM,3156452.71100325,3275481.30176747,0.963660732637981,Not P20
Completed secondary education,P20,2011,ARM,189518.202178548,226942.763719705,0.835092509989085,P20
Completed secondary education,Not P20,2012,ARM,3153787.33267495,3273923.5513492,0.963305124023208,Not P20
Completed secondary education,P20,2012,ARM,226312.977350445,263837.600946341,0.857773784095593,P20
Completed secondary education,Not P20,2013,ARM,3134303.52732333,3247944.6416776,0.96501137584181,Not P20
Completed secondary education,P20,2013,ARM,303276.349123134,348819.138746586,0.869437239633405,P20
Completed secondary education,Not P20,2014,ARM,3174412.29576214,3289431.69246288,0.96503365704043,Not P20
Completed secondary education,P20,2014,ARM,320825.502909183,366601.21023215,0.87513487122975,P20
Completed secondary education,Not P20,2015,ARM,3198108.96719616,3314448.38730556,0.964899311585306,Not P20
Completed secondary education,P20,2015,ARM,326474.223042914,372456.615550348,0.876542956715939,P20
Completed secondary education,Not P20,2016,ARM,4745676.45602573,4961697.52635111,0.956462265348076,Not P20
Completed secondary education,P20,2016,ARM,797271.982989009,910594.47364889,0.87555108894327,P20
Completed secondary education,Not P20,2017,ARM,4727812.33532814,4938902.85020956,0.957259634116419,Not P20
Completed secondary education,P20,2017,ARM,816390.042163683,950715.149790445,0.858711510323182,P20
Completed secondary education,Not P20,2018,ARM,4667146.11482178,4877896.44230342,0.95679483359796,Not P20
Completed secondary education,P20,2018,ARM,891636.885347836,1025655.55769658,0.869333645839427,P20
Completed secondary education,Not P20,2000,AZE,4505862.89285837,8039971.73385396,0.560432678374416,Not P20
Completed secondary education,Not P20,2001,AZE,4540908.36872908,8102504.6253555,0.560432678374416,Not P20
Completed secondary education,Not P20,2002,AZE,4574918.15561638,8163189.5000954,0.560432678374416,Not P20
Completed secondary education,Not P20,2003,AZE,4609711.70713976,8225272.87400627,0.560432678374416,Not P20
Completed secondary education,Not P20,2004,AZE,4650243.53546307,8297595.25970453,0.560432678374416,Not P20
Completed secondary education,Not P20,2005,AZE,4698025.18667017,8382853.76273418,0.560432678374417,Not P20
Completed secondary education,Not P20,2006,AZE,4749921.60221672,8475454.38641138,0.560432678374416,Not P20
Completed secondary education,Not P20,2007,AZE,4804085.3368891,8572100.66840457,0.560432678374417,Not P20
Completed secondary education,Not P20,2008,AZE,4906030.72276856,8754005.4534274,0.560432678374416,Not P20
Completed secondary education,Not P20,2009,AZE,5008951.89561997,8937651.36991809,0.560432678374416,Not P20
Completed secondary education,Not P20,2010,AZE,5068903.73212984,9044625.56828882,0.560432678374417,Not P20
Completed secondary education,Not P20,2011,AZE,5135383.76822641,9163248.26582567,0.560432678374416,Not P20
Completed secondary education,Not P20,2012,AZE,5204076.25992429,9285818.72673656,0.560432678374417,Not P20
Completed secondary education,Not P20,2013,AZE,5271825.43489944,9406705.9940024,0.560432678374416,Not P20
Completed secondary education,Not P20,2014,AZE,5338041.23034729,9524857.19753305,0.560432678374417,Not P20
Completed secondary education,Not P20,2015,AZE,5402008.74095333,9638996.706299,0.560432678374417,Not P20
