handwashing,p20,sex,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,Female,2011,AFG,2110697.78162265,4648515.38074978,0.454058470014614,Not P20 Female
no soap and water,P20,Female,2011,AFG,7378894.39045722,8814250.33501194,0.837155073886068,P20 Female
no soap and water,Not P20,Male,2012,AFG,2897924.93700666,5702721.74742644,0.508165235015096,Not P20 Male
no soap and water,P20,Male,2012,AFG,7570722.86920036,8881106.97421437,0.852452615555852,P20 Male
no soap and water,Not P20,Female,2012,AFG,2733588.30673879,5554439.78307648,0.492144737092588,Not P20 Female
no soap and water,P20,Female,2012,AFG,7084942.57972338,8374987.17231175,0.845964588835033,P20 Female
no soap and water,Not P20,Male,2013,AFG,2916715.34774483,5800766.46095376,0.502815510222293,Not P20 Male
no soap and water,P20,Male,2013,AFG,7924236.03039879,9301716.782846,0.851911127310657,P20 Male
no soap and water,Not P20,Female,2013,AFG,2759785.57652684,5656280.04314906,0.487915300422496,Not P20 Female
no soap and water,P20,Female,2013,AFG,7407928.33604045,8768528.50368469,0.844831414179415,P20 Female
no soap and water,Not P20,Male,2014,AFG,2908011.08054585,5847250.37791692,0.49732966652641,Not P20 Male
no soap and water,P20,Male,2014,AFG,8302889.53563638,9770607.57550461,0.849782316142972,P20 Male
no soap and water,Not P20,Female,2014,AFG,2776935.92350028,5736013.39647335,0.484122984302585,Not P20 Female
no soap and water,P20,Female,2014,AFG,7737752.88853314,9181044.10016313,0.842796614863842,P20 Female
no soap and water,Not P20,Male,2015,AFG,2870757.42594694,5860754.01833651,0.489827318629177,Not P20 Male
no soap and water,P20,Male,2015,AFG,8690474.32292157,10245148.7456026,0.848252625580639,P20 Male
no soap and water,Not P20,Female,2015,AFG,2744878.55619986,5747480.24051866,0.47757946810308,Not P20 Female
no soap and water,P20,Female,2015,AFG,8098385.36032126,9635722.64693501,0.840454385940347,P20 Female
no soap and water,Not P20,Male,2016,AFG,2924304.76471324,5985303.19596262,0.488580890385942,Not P20 Male
no soap and water,P20,Male,2016,AFG,8962638.39575381,10574346.7497873,0.84758317537999,P20 Male
